source,target,occupation,level
aisha.opra,amadou.gobir.1,others,0
aisha.opra,djuma.kassim.5,others,0
aisha.opra,mamadou.makassi.9,others,0
aisha.opra,atibu.actros.1,others,0
aisha.opra,sami.wili.75,others,0
aisha.opra,said.amhou.3,others,0
aisha.opra,Abdallah Abdallah|100037970047962,others,0
aisha.opra,mohammed.sissoko.921,others,0
aisha.opra,alaindonamin.bilallih,others,0
aisha.opra,kaneza.hawa.7,others,0
aisha.opra,serianuti.seriaunti,others,0
aisha.opra,shabani.shishi,others,0
aisha.opra,ireneakim.irene,others,0
aisha.opra,falonne.kayembe.940,others,0
aisha.opra,kemezemasingi.mashumbe,others,0
aisha.opra,chanceline.epanda.35,others,0
aisha.opra,khatim.abdoul.9,others,0
aisha.opra,Khadi Dja|100036436996020,others,0
aisha.opra,saidou.mamane.98,others,0
aisha.opra,dusenge.clement.12,others,0
aisha.opra,aline.queen.3572,others,0
aisha.opra,mamane.marouane,others,0
aisha.opra,mugisha.janvier.104,others,0
aisha.opra,Abdoulaye Diallo|100035682004761,others,0
aisha.opra,nijimberechadrack.nijimberechadrack,others,0
aisha.opra,bitangimana.kayway.5,others,0
aisha.opra,omeri.hakizimana.9,others,0
aisha.opra,pronay.pronay.5268,others,0
aisha.opra,djamilou.yacoubou.5,others,0
aisha.opra,youssuf.mussa.39,others,0
aisha.opra,shukurani.shukurani.9250,others,0
aisha.opra,nasra.bintyrashid,others,0
aisha.opra,monir.senhaji.9,others,0
aisha.opra,maurice.ndayisenga.543,others,0
aisha.opra,mdapon.ahmed.7737,others,0
aisha.opra,staraveltos.sky,others,0
aisha.opra,anass.moussa.1272,others,0
aisha.opra,zoubir.zoubir.33234571,others,0
aisha.opra,zilfa.moussa.3,others,0
aisha.opra,aisha.hamisi.5095110,others,0
aisha.opra,sibomana.kassaidi.9,others,0
aisha.opra,shanny.queen.73,others,0
aisha.opra,methrufina.sanchez,others,0
aisha.opra,Ibrahim Moussa|100033900892493,others,0
aisha.opra,joyce.buloze.71,others,0
aisha.opra,salhaabdul.salhaabdul,others,0
aisha.opra,adija.sumailiernete,others,0
aisha.opra,sania.kininga.9,others,0
aisha.opra,abubakari.amissi,others,0
aisha.opra,manirakiza.dieudonne.33,others,0
aisha.opra,lumiere.mukobelwa.1,others,0
aisha.opra,harerimana.issa.169,others,0
aisha.opra,nahimana.ally.5,others,0
aisha.opra,mpahwenimana.zuwena,others,0
aisha.opra,sahabi.ila.5,others,0
aisha.opra,Janaty Siradji|100030686084658,others,0
aisha.opra,jojo.criss.54,others,0
aisha.opra,mugisha.akim.7,others,0
aisha.opra,hamza.adamou.378537,others,0
aisha.opra,rahma.wabilali.7,others,0
aisha.opra,esoka.vanessa.12,others,0
aisha.opra,salum.saidi.7927,others,0
aisha.opra,ishausalaha.ishausalaha,others,0
aisha.opra,chehou.riodedjanero,others,0
aisha.opra,yussuf.ayush,others,0
aisha.opra,ndayishimiye.alidi,others,0
aisha.opra,rukia.ramadhani.165,others,0
aisha.opra,abdoulnasour.soumaila,others,0
aisha.opra,zizi.dadjou,others,0
aisha.opra,dawi.dawi.52090,others,0
aisha.opra,havey.singuran,others,0
aisha.opra,ashura.yussuf.75218033,others,0
aisha.opra,ally.kabonge.75,others,0
aisha.opra,sallah.ndizeye,others,0
aisha.opra,basi.anna.7,others,0
aisha.opra,aisetu.abdoulikarim.3,others,0
aisha.opra,abdallah.anfara,others,0
aisha.opra,aisetu.abdoulikarim,others,0
aisha.opra,riziki.khamissi,others,0
aisha.opra,nahimana.asha.14,others,0
aisha.opra,faty.ashlaksh,others,0
aisha.opra,malkiya.balkiss.3,others,0
aisha.opra,ilakoze.alima,others,0
aisha.opra,Mona Ali Ahmd|100027377115197,others,0
aisha.opra,zawadi.umutoni.9,others,0
aisha.opra,ndikumwenayomethode.butike,others,0
aisha.opra,aishwaria.mendez,others,0
aisha.opra,zuwena.yusufu.35,others,0
aisha.opra,nzeyimana.djohari,others,0
aisha.opra,nunu.lontanaluchana,others,0
aisha.opra,ouattara.mariam.79274089,others,0
aisha.opra,djata.sylla.79,others,0
aisha.opra,callixte.irungura.1,others,0
aisha.opra,abasi.bayaganakandi,others,0
aisha.opra,claudeelgwarudo.ndacayisaba,others,0
aisha.opra,jeanretty.irakoze.73,others,0
aisha.opra,jonathan.nkengurutse.1,others,0
aisha.opra,lidyaElisa00,others,0
aisha.opra,mapesa.tz.39,others,0
aisha.opra,kidres.akbar,others,0
aisha.opra,bourama.konate.1069,others,0
aisha.opra,Adams Danger|100027035859013,others,0
aisha.opra,elvis.ndikumana.96,others,0
aisha.opra,cabdullaahi.aadan.50,others,0
aisha.opra,niyikigongwe.niyikigongwefleury,others,0
aisha.opra,karimu.jade,others,0
aisha.opra,ruksana.ruksanaqueen,others,0
aisha.opra,samuel.sabou,others,0
aisha.opra,alliashurlaire.kingamavioga.9,others,0
aisha.opra,Tamim Khan|100026963535468,others,0
aisha.opra,waziri.sharu.1,others,0
aisha.opra,Abdul Kabir|100026961855044,others,0
aisha.opra,Chit Chit|100026937012273,others,0
aisha.opra,niyonteze.jeanpierre.1,others,0
aisha.opra,ali.silima.96,others,0
aisha.opra,guillaine.nkurunziza.5,others,0
aisha.opra,rehema.nassor.3158,others,0
aisha.opra,Muslim Aleiraqi|100026856494443,others,0
aisha.opra,moussa.swaibu.1,others,0
aisha.opra,sadiki.burundiano,others,0
aisha.opra,rossine.flaurance.78114,others,0
aisha.opra,Haydar Khalaf Babir|100026780624780,others,0
